"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"19-May-2017","    22761.95","    22902.25","    22628.45","    22769.80","      154944222","         4945.90"
"22-May-2017","    22874.80","    22918.35","    22637.75","    22652.85","       99779442","         3093.31"
"23-May-2017","    22674.90","    22740.40","    22492.20","    22582.80","      114212196","         3364.36"
"24-May-2017","    22624.50","    22673.40","    22469.80","    22536.30","       91993332","         2841.15"
"25-May-2017","    22573.65","    23267.80","    22570.35","    23190.80","      132711087","         4830.60"
"26-May-2017","    23151.40","    23408.35","    23092.35","    23362.20","       78876968","         2631.64"
"29-May-2017","    23310.60","    23464.00","    23141.15","    23182.75","       60052384","         2070.83"
"30-May-2017","    23142.10","    23337.15","    23093.95","    23307.25","       66704876","         2050.67"
"31-May-2017","    23321.20","    23469.45","    23248.50","    23424.80","      182918715","         5866.26"
"01-Jun-2017","    23394.10","    23396.15","    23224.05","    23310.15","       81509629","         2488.50"
"02-Jun-2017","    23435.20","    23453.30","    23308.40","    23375.90","       67217648","         2138.90"
"05-Jun-2017","    23397.40","    23494.70","    23349.95","    23459.65","       52203667","         1832.18"
"06-Jun-2017","    23523.05","    23536.10","    23381.70","    23416.30","       54088336","         1892.27"
"07-Jun-2017","    23482.85","    23606.15","    23427.55","    23567.65","       56452419","         1793.66"
"08-Jun-2017","    23630.35","    23659.10","    23514.20","    23536.10","       64825589","         2301.45"
"09-Jun-2017","    23483.95","    23708.65","    23476.85","    23690.90","       58400790","         1946.72"
"12-Jun-2017","    23610.15","    23630.10","    23441.80","    23470.45","       56374007","         1752.71"
"13-Jun-2017","    23447.00","    23615.20","    23446.90","    23477.85","       47770607","         1568.75"
"14-Jun-2017","    23555.30","    23562.80","    23399.40","    23498.70","       81088281","         2706.06"
"15-Jun-2017","    23444.70","    23473.30","    23311.85","    23391.75","       72763994","         2150.20"
"16-Jun-2017","    23448.60","    23527.65","    23391.00","    23502.75","      102155200","         3301.93"
"19-Jun-2017","    23571.35","    23806.65","    23535.70","    23742.15","       60483537","         2207.29"
"20-Jun-2017","    23720.60","    23760.35","    23651.20","    23697.95","       71814671","         2145.64"
"21-Jun-2017","    23638.15","    23760.75","    23610.20","    23708.75","       62327766","         1879.19"
"22-Jun-2017","    23716.85","    23897.85","    23694.15","    23736.10","       79042264","         2671.82"
"23-Jun-2017","    23772.30","    23786.50","    23507.50","    23542.75","       74946434","         2296.54"
"27-Jun-2017","    23636.95","    23640.10","    23055.75","    23216.25","      101336046","         3170.71"
"28-Jun-2017","    23209.55","    23322.55","    23113.65","    23235.85","       95524464","         3008.65"
"29-Jun-2017","    23312.40","    23476.00","    23124.35","    23227.30","      146858174","         4341.23"
"30-Jun-2017","    23137.25","    23254.10","    22996.40","    23211.20","       70715291","         2326.93"
"03-Jul-2017","    23240.35","    23330.10","    23144.30","    23272.80","       51036105","         1729.62"
"04-Jul-2017","    23325.50","    23363.05","    23163.70","    23214.20","       55294067","         1740.14"
"05-Jul-2017","    23241.90","    23380.35","    23205.55","    23352.60","       89709252","         1863.29"
"06-Jul-2017","    23399.50","    23540.15","    23369.50","    23466.65","      130090775","         2524.90"
"07-Jul-2017","    23463.75","    23492.60","    23400.60","    23449.15","       88942526","         1922.97"
"10-Jul-2017","    23583.25","    23964.80","    23289.90","    23675.05","       36606673","          704.90"
"11-Jul-2017","    23744.55","    23744.55","    23552.60","    23584.60","       78963065","         2486.24"
"12-Jul-2017","    23623.75","    23736.55","    23523.65","    23695.45","       69663347","         2115.83"
"13-Jul-2017","    23817.25","    23938.00","    23811.00","    23888.65","       84983841","         3415.57"
"14-Jul-2017","    23949.50","    23963.65","    23755.95","    23937.70","       71052482","         2242.23"
"17-Jul-2017","    24011.40","    24066.10","    23913.65","    24015.05","       65783041","         1947.90"
"18-Jul-2017","    23958.15","    24147.45","    23942.10","    24022.05","       75082364","         2216.31"
"19-Jul-2017","    24069.20","    24180.75","    24053.70","    24152.65","       72823157","         2589.27"
"20-Jul-2017","    24170.65","    24299.60","    24170.65","    24213.35","       91515347","         3668.17"
"21-Jul-2017","    24231.40","    24289.30","    24066.90","    24257.05","       65322497","         1978.15"
"24-Jul-2017","    24307.70","    24460.55","    24234.65","    24420.85","       74481260","         3185.24"
"25-Jul-2017","    24622.90","    24624.65","    24450.20","    24520.70","       76545885","         2988.16"
"26-Jul-2017","    24578.15","    24720.90","    24484.90","    24670.70","      132701870","         4678.10"
"27-Jul-2017","    24857.50","    25032.25","    24799.40","    24922.40","      152249420","         6518.92"
"28-Jul-2017","    24744.55","    24859.75","    24651.05","    24811.30","      100038906","         4508.13"
"31-Jul-2017","    24880.60","    25168.10","    24828.50","    25103.65","      130095973","         4618.56"
"01-Aug-2017","    25152.85","    25179.50","    25000.90","    25122.80","       71831819","         2830.18"
"02-Aug-2017","    25190.40","    25198.80","    24926.25","    25055.20","       86354876","         2658.97"
"03-Aug-2017","    25002.85","    25005.15","    24619.60","    24675.05","       88206784","         2681.36"
"04-Aug-2017","    24629.50","    24879.70","    24591.80","    24827.45","       67776967","         2226.83"
"07-Aug-2017","    24854.15","    24979.35","    24844.45","    24906.35","       52223527","         1703.90"
"08-Aug-2017","    24942.20","    24966.05","    24534.35","    24599.50","       70792652","         2438.61"
"09-Aug-2017","    24519.25","    24532.40","    24328.10","    24374.60","       78290219","         2396.27"
"10-Aug-2017","    24300.45","    24326.90","    23822.20","    24217.35","       87718421","         2991.10"
"11-Aug-2017","    23958.25","    24191.20","    23868.30","    23985.75","      157833300","         4723.82"
"14-Aug-2017","    24051.05","    24212.15","    24038.15","    24115.75","       76330838","         2457.95"
"16-Aug-2017","    24188.75","    24461.20","    23947.45","    24437.70","       94859044","         3108.17"
"17-Aug-2017","    24495.20","    24496.20","    24121.55","    24237.25","       69545034","         2126.94"
"18-Aug-2017","    24125.30","    24130.15","    23925.95","    24074.45","       60046818","         1848.07"
"21-Aug-2017","    24140.55","    24258.95","    23882.25","    23936.50","       69872289","         2438.35"
"22-Aug-2017","    24080.60","    24127.45","    23852.65","    23974.45","       70219974","         2376.56"
